batch_id,batch_name,manifest_rows,train_rows,reference_only_rows,completed_summary_rows,missing_summary_rows,train_completed,train_missing_loss_csv,reference_completed,residual_rmse_min,residual_rmse_median,residual_rmse_max,rel_l2_median,phase_mae_median,reference_rmse_median,reference_rmse_max,runtime_sec_median,runtime_sec_sum_completed
C0,reference_gate,108,0,108,108,0,0,0,108,,,,,,6.741062013018877e-09,2.8160005877860664e-07,,0
C1,highk_scaling,144,144,0,144,0,144,0,0,0.00030082528332262015,0.0010342341328227586,0.004873744514540166,0.23199518452279727,0.3943527261892694,,,317.0390864,72092.14975259999
C2,ppw_resolution_law,28,28,0,28,0,28,0,0,0.0012043271678123734,0.0027389354392277836,0.006143625470948449,0.13708378365931778,0.1681999488818824,,,1619.95533695,48615.304328800004
C3,grid_pollution_phase_budget,114,24,90,114,0,24,0,90,0.0003100354159543788,0.000642941002283086,0.0024021258994023987,0.6230372282593328,0.751205848377753,5.608458208491245e-09,1.099861139970753e-06,499.2080277,14649.477679599999
C4,highk_pml_stability,100,100,0,100,0,100,0,0,0.0003568262835659522,0.0007778687222296081,0.0016590952998208669,0.4577439963927263,0.6783913899381933,,,2033.2191440000001,232739.8071409999
C5,laptau_strictness,108,108,0,107,1,107,1,0,0.0,0.00047905729062647755,0.002752471707616311,0.5118292832642478,0.6577667273979229,,,1172.9131203999998,174300.33130279995
C6,medium_complexity,54,54,0,54,0,54,0,0,0.0,0.00045830085147460195,0.001507359280643247,0.4389213696031014,0.5399752025951008,,,827.3110389000001,64656.644850200006
C7,source_robustness,36,36,0,36,0,36,0,0,0.00031512181834365106,0.0022802735171545963,0.006640756265367419,0.0620532068017186,0.0630241866163302,,,2258.86322445,84099.9690839
C8,nsno_depth_sweep,48,48,0,48,0,48,0,0,0.0004173576057854008,0.0007683171410458252,0.0020628821639261333,0.4687204288596426,0.6460458061610874,,,692.3908951999999,57901.0579687
C9,fno_mode_bandwidth,28,28,0,28,0,28,0,0,0.00033308296259703686,0.0007599632282364484,0.002509346682150008,0.4448981287361591,0.7272172242363208,,,3368.4152992,90836.54797049999
C10,channel_capacity,24,24,0,24,0,24,0,0,0.0003279955663476488,0.0008686048471471795,0.0014830911502010655,0.4679258500008595,0.7345356173235718,,,2139.04876665,61132.824172700006
C11,supervision_loss_matrix,42,42,0,42,0,42,0,0,0.0004002614997481874,0.0015833913029242596,0.014422295664451421,0.14649544795155123,0.17762230208980273,,,2315.6987034,99206.34268230002
C12,optimization_budget,72,72,0,72,0,72,0,0,0.002111968421617539,0.00357390913299279,0.004486840778265222,0.13423900802878008,0.1826487835349196,,,3131.6772854,226078.66629810003
C13,curriculum_warm_start,28,28,0,28,0,28,0,0,0.0017067737442124573,0.0039053941262538663,0.01052933241148418,0.14768479348936903,0.19925928656776656,,,510.41529425,18480.390554799993
C14,phase_pathology,36,36,0,36,0,36,0,0,0.0004002614997481874,0.001494687603849785,0.014422295664451421,0.14839697170485366,0.2238620875034465,,,803.1967325,51746.02196530001
C15,benchmark_cards,31,24,7,31,0,24,0,7,0.00033575849883834804,0.001528955557374161,0.004314411479260301,0.30178497500562573,0.4657242965136237,2.937075145083822e-08,4.135542416099046e-07,1043.6227156999998,36140.5130425
C16,neural_pml_damping_window,86,86,0,86,0,86,0,0,0.0010434998093982325,0.0032213306216877626,0.004913913665501926,0.09236510670404668,0.13836704717194837,,,2251.13352525,207583.46576269995
C17,pml_interface_consistency,72,72,0,72,0,72,0,0,0.002622689453152484,0.003996662166875666,0.01045938422357996,0.14915285079424265,0.18612475467075407,,,2835.3955637500003,209714.8344092
C18,auxiliary_field_pml_audit,84,84,0,84,0,84,0,0,0.0,0.00044628631049126925,0.0014871966919807451,0.4614140124244537,0.675455508586027,,,1594.4503211,167894.92872070006
C19,pml_loss_weighting,80,80,0,80,0,80,0,0,0.0027208894302713674,0.004781638667186809,0.009837304295253336,0.12936377724958795,0.16659723734634024,,,3155.7656864500004,252954.85486540003
C20,pml_antidote_architectures,72,72,0,72,0,72,0,0,0.0020710584631794334,0.0035702018807289935,221119505033.4218,0.10192128866528681,0.15870865641540366,,,1159.86987455,117025.14633560002
C21,radiation_baselines_proxy,18,18,0,18,0,18,0,0,0.0021565762404633045,0.0035378124398209925,0.004314411479260301,0.1088999583013621,0.15924654740485217,,,2536.20345095,51494.5818719
